Date,XLY Adjusted Close,XLE Adjusted Close,XLF Adjusted Close,XLI Adjusted Close,XLB Adjusted Close,FRESX Adjusted Close,XLK Adjusted Close,XLU Adjusted Close,SP500 Adjusted Close,Date_CPI,CPI_EOM
2006-12-29,32.836,48.197,23.908,28.209,27.6,26.309,19.821,25.068,1418.3,,
2006-12-28,33.007,48.682,24.045,28.394,27.79,26.309,19.881,25.075,1424.73,,
2006-12-27,33.042,48.789,24.156,28.491,27.83,26.258,19.889,25.225,1426.84,,
2006-12-26,32.828,48.222,23.987,28.346,27.561,25.969,19.744,25.088,1416.9,,
2006-12-22,32.725,48.164,23.772,28.209,27.323,25.788,19.634,24.965,1410.76,,
2006-12-21,32.751,48.633,23.889,28.386,27.473,25.991,19.787,25.054,1418.3,,
2006-12-20,32.896,48.863,23.993,28.443,27.806,26.294,19.881,25.068,1423.53,,
2006-12-19,32.905,49.537,23.915,28.402,27.941,26.056,19.872,25.15,1425.55,,
2006-12-18,32.888,48.707,23.935,28.394,27.735,26.258,20,25.04,1422.48,,
2006-12-15,32.913,50.154,23.817,28.362,28.02,26.41,20.077,25.218,1427.09,,
2006-12-14,33.052,50.611,23.758,28.207,27.811,26.591,20.072,25.241,1425.49,,
2006-12-13,32.711,49.889,23.558,28.047,27.607,26.542,19.903,25.2,1413.21,,
2006-12-12,32.54,49.389,23.532,28.143,27.443,26.697,19.869,25.106,1411.56,,
2006-12-11,32.719,49.275,23.513,28.095,27.756,26.809,19.937,25.011,1413.04,,
2006-12-08,32.6,49.398,23.384,28.223,27.858,26.746,19.818,24.876,1409.84,,
2006-12-07,32.532,49.455,23.313,28.191,27.787,26.732,19.818,24.95,1407.29,,
2006-12-06,32.685,49.75,23.371,28.239,27.615,26.873,19.895,24.977,1412.9,,
2006-12-05,32.711,49.889,23.338,28.334,27.725,27.014,20.022,25.099,1414.76,,
2006-12-04,32.438,49.693,23.229,28.27,27.607,27.225,20.013,25.038,1409.12,,
2006-12-01,32.097,49.766,22.906,27.911,27.208,26.823,19.759,24.842,1396.71,,
2006-11-30,32.139,49.594,23.041,28.071,27.427,26.901,19.928,24.855,1400.63,,
2006-11-29,32.105,49.217,23.087,28.087,27.372,26.64,19.886,24.7,1399.48,,
2006-11-28,31.883,47.701,22.944,27.863,27.145,26.196,19.759,24.395,1386.72,,
2006-11-27,31.9,46.947,22.906,27.895,27.035,26.189,19.657,24.22,1381.96,,
2006-11-24,32.37,47.16,23.267,28.35,27.49,26.859,20.132,24.49,1400.95,,
2006-11-22,32.54,47.258,23.384,28.406,27.466,26.732,20.174,24.395,1406.09,,
2006-11-21,32.472,47.537,23.358,28.294,27.09,26.647,20.022,24.341,1402.81,,
2006-11-20,32.378,46.677,23.397,28.199,27.019,26.14,20.03,24.301,1400.5,,
2006-11-17,32.506,46.799,23.248,28.294,26.51,25.336,20.03,24.382,1401.2,,
2006-11-16,32.566,46.414,23.422,28.278,26.628,25.421,19.996,24.355,1399.76,,
